date,authortitle,url,event,author,title,thumb_url,description,published_date,tags,neat_name
Sep 2010,Fabian Hemmert: The shape-shifting future of the mobile phone,https://download.ted.com/talks/FabianHemmert_2009X-480p.mp4?apikey=TEDDOWNLOAD,TEDxBerlin,Fabian Hemmert,The shape-shifting future of the mobile phone,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/201253_800x600.jpg,,,,fabian_hemmert_the_shape_shifting_future_of_the_mobile_phone
Sep 2010,Annie Lennox: Why I am an HIV/AIDS activist,https://download.ted.com/talks/AnnieLennox_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Annie Lennox,Why I am an HIV/AIDS activist,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/131094e1-4c09-411a-9ddb-d196b5071875/AnnieLennox_2010G-embed.jpg,,,,annie_lennox_why_i_am_an_hiv_aids_activist
Sep 2010,Mitchell Besser: Mothers helping mothers fight HIV,https://download.ted.com/talks/MitchellBesser_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Mitchell Besser,Mothers helping mothers fight HIV,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/201130_800x600.jpg,,,,mitchell_besser_mothers_helping_mothers_fight_hiv
Sep 2010,Steven Johnson: Where good ideas come from,https://download.ted.com/talks/StevenJohnson_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Steven Johnson,Where good ideas come from,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/200758_800x600.jpg,,,,steven_johnson_where_good_ideas_come_from
Sep 2010,Christien Meindertsma: How pig parts make the world turn,https://download.ted.com/talks/ChristienMeindertsma_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Christien Meindertsma,How pig parts make the world turn,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/635fa18e-77c7-4a7a-947a-5f98eb90af54/ChristienMeindertsma_2010G-embed.jpg,,,,christien_meindertsma_how_pig_parts_make_the_world_turn
Sep 2010,Caroline Phillips: Hurdy-gurdy for beginners,https://download.ted.com/talks/CarolinePhillips_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Caroline Phillips,Hurdy-gurdy for beginners,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/199604_800x600.jpg,,,,caroline_phillips_hurdy_gurdy_for_beginners
Sep 2010,Nicholas Christakis: How social networks predict epidemics,https://download.ted.com/talks/NicholasChristakis_2010S-480p.mp4?apikey=TEDDOWNLOAD,TED@Cannes,Nicholas Christakis,How social networks predict epidemics,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/199262_800x600.jpg,,,,nicholas_christakis_how_social_networks_predict_epidemics
Sep 2010,Jessa Gamble: Our natural sleep cycle is nothing like what we do now,https://download.ted.com/talks/JessaGamble_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Jessa Gamble,Our natural sleep cycle is nothing like what we do now,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/198859_800x600.jpg,,,,jessa_gamble_our_natural_sleep_cycle_is_nothing_like_what_we_do_now
Sep 2010,Chris Anderson: How web video powers global innovation,https://download.ted.com/talks/ChrisAnderson_2010G-480p.mp4?apikey=TEDDOWNLOAD,TEDGlobal 2010,Chris Anderson,How web video powers global innovation,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/198626_800x600.jpg,,,,chris_anderson_how_web_video_powers_global_innovation
Sep 2010,Rob Dunbar: Discovering ancient climates in oceans and ice,https://download.ted.com/talks/RobDunbar_2010Z-480p.mp4?apikey=TEDDOWNLOAD,Mission Blue Voyage,Rob Dunbar,Discovering ancient climates in oceans and ice,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/197989_800x600.jpg,,,,rob_dunbar_discovering_ancient_climates_in_oceans_and_ice
