date,authortitle,url,event,author,title,thumb_url,description,published_date,tags,neat_name
Aug 2006,"Ross Lovegrove: Organic design, inspired by nature",https://download.ted.com/talks/RossLovegrove_2005-480p.mp4?apikey=TEDDOWNLOAD,TED2005,Ross Lovegrove,"Organic design, inspired by nature",,"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",1155600660.0,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']",ross_lovegrove_organic_design_inspired_by_nature
Aug 2006,Amy Smith: Simple designs to save a life,https://download.ted.com/talks/AmySmith_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Amy Smith,Simple designs to save a life,,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,1155600660.0,"['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",amy_smith_simple_designs_to_save_a_life
Aug 2006,"Jennifer Lin: Improvising on piano, aged 14",https://download.ted.com/talks/JenniferLin_2004-480p.mp4?apikey=TEDDOWNLOAD,TED2004,Jennifer Lin,"Improvising on piano, aged 14",,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1154995860.0,"['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']",jennifer_lin_improvising_on_piano_aged_14
Aug 2006,Sirena Huang: An 11-year-old's magical violin,https://download.ted.com/talks/SirenaHuang_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Sirena Huang,An 11-year-old's magical violin,,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1154995860.0,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",sirena_huang_an_11_year_old_s_magical_violin
Aug 2006,Jeff Han: The radical promise of the multi-touch interface,https://download.ted.com/talks/JeffHan_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Jeff Han,The radical promise of the multi-touch interface,,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",1154391060.0,"['demo', 'design', 'interface design', 'technology']",jeff_han_the_radical_promise_of_the_multi_touch_interface
Aug 2006,Nicholas Negroponte: One Laptop per Child,https://download.ted.com/talks/NicholasNegroponte_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Nicholas Negroponte,One Laptop per Child,,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",1154391060.0,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",nicholas_negroponte_one_laptop_per_child
Jul 2006,Dan Dennett: Let's teach religion -- all religion -- in schools,https://download.ted.com/talks/DanDennett_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Dan Dennett,Let's teach religion -- all religion -- in schools,,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",1153181460.0,"['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']",dan_dennett_let_s_teach_religion_all_religion_in_schools
Jul 2006,Rick Warren: A life of purpose,https://download.ted.com/talks/RickWarren_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Rick Warren,A life of purpose,,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",1153181460.0,"['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']",rick_warren_a_life_of_purpose
Jul 2006,Julia Sweeney: Letting go of God,https://download.ted.com/talks/JuliaSweeney_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Julia Sweeney,Letting go of God,,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ",1152490260.0,"['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']",julia_sweeney_letting_go_of_god
Jul 2006,Joshua Prince-Ramus: Behind the design of Seattle's library,https://download.ted.com/talks/JoshuaPrinceRamus_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Joshua Prince-Ramus,Behind the design of Seattle's library,,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",1152490260.0,"['architecture', 'collaboration', 'culture', 'design', 'library']",joshua_prince_ramus_behind_the_design_of_seattle_s_library
Jun 2006,Hans Rosling: The best stats you've ever seen,https://download.ted.com/talks/HansRosling_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Hans Rosling,The best stats you've ever seen,,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",1151440680.0,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",hans_rosling_the_best_stats_you_ve_ever_seen
Jun 2006,Sir Ken Robinson: Do schools kill creativity?,https://download.ted.com/talks/SirKenRobinson_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Sir Ken Robinson,Do schools kill creativity?,,,,,sir_ken_robinson_do_schools_kill_creativity_
Jun 2006,Majora Carter: Greening the ghetto,https://download.ted.com/talks/MajoraCarter_2006-480p.mp4?apikey=TEDDOWNLOAD,TED2006,Majora Carter,Greening the ghetto,,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",1151367060.0,"['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']",majora_carter_greening_the_ghetto
Feb 2020,Lauren Sallan:  A brief tour of the last 4 billion years (dinosaurs not included),https://download.ted.com/talks/LaurenSallan_2019T-480p.mp4?apikey=TEDDOWNLOAD,TEDSummit 2019,Lauren Sallan, A brief tour of the last 4 billion years (dinosaurs not included),https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/01ba3137-2e8d-4d59-998b-0058787df0e7/LaurenSallan_2019T-embed.jpg,,,,lauren_sallan_a_brief_tour_of_the_last_4_billion_years_dinosaurs_not_included_
Feb 2020,Jay Van Bavel: Do politics make us irrational?,https://download.ted.com/talks/JayVanBavel_Partisanship_2019E-480p.mp4?apikey=TEDDOWNLOAD,TED-Ed,Jay Van Bavel,Do politics make us irrational?,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/b10be228-68ef-4bfa-aace-5606cd9b1fe3/partisanshiptextless1.jpg,,,,jay_van_bavel_do_politics_make_us_irrational_
Jan 2020,Jen Gunter: Why can't we talk about periods?,https://download.ted.com/talks/JenGunter_2019W-480p.mp4?apikey=TEDDOWNLOAD,TEDWomen 2019,Jen Gunter,Why can't we talk about periods?,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/fc447675-86bb-4338-98f7-36eecff7c80a/JenGunter_2019W-embed.jpg,,,,jen_gunter_why_can_t_we_talk_about_periods_
